Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG07ALE00000AFA0000S100,2019.09,510848,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2019,9
SNEQ.SG07ALE00000AFA0000S100,2019.12,526204,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2019,12
SNEQ.SG07ALE00000AFA0000S100,2020.03,520791,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2020,3
SNEQ.SG07ALE00000AFA0000S100,2020.06,531168,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2020,6
SNEQ.SG07ALE00000AFA0000S100,2020.09,536752,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2020,9
SNEQ.SG07ALE00000AFA0000S100,2020.12,541576,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2020,12
SNEQ.SG07ALE00000AFA0000S100,2021.03,549775,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2021,3
SNEQ.SG07ALE00000AFA0000S100,2021.06,571942,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2021,6
SNEQ.SG07ALE00000AFA0000S100,2021.09,599774,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2021,9
SNEQ.SG07ALE00000AFA0000S100,2021.12,615397,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2021,12
